Term Code,Term,CRN,Section,Credits,Title,Actual Enroll,XLST Actual Enroll
202310,Fall 2022,14062,AAPI 110 01,3,Intro AAPI Studies,26,40
202310,Fall 2022,14067,AAPI 202 01,3,"Prej., Harass., & Bias Crime",10,30
202310,Fall 2022,14069,AAPI 202 02,3,"Prej., Harass., & Bias Crime",8,30
202310,Fall 2022,13884,AC 211 01,3,Intro to Financial Acctng,38,
202310,Fall 2022,12247,AC 211 02,3,Intro to Financial Acctng,9,
202310,Fall 2022,12248,AC 211 03,3,Intro to Financial Acctng,33,
202310,Fall 2022,12249,AC 211 04,3,Intro to Financial Acctng,34,
202310,Fall 2022,12252,AC 211 05,3,Intro to Financial Acctng,32,
202310,Fall 2022,13448,AC 211 06,3,Intro to Financial Acctng,34,
202310,Fall 2022,13450,AC 211 07,3,Intro to Financial Acctng,34,
202310,Fall 2022,14834,AC 212 01,3,Intro to Managerial Acctng,24,
202310,Fall 2022,14835,AC 212 02,3,Intro to Managerial Acctng,30,
202310,Fall 2022,13819,AC 212 06,3,Intro to Managerial Acctng,40,
202310,Fall 2022,12370,AC 300 01,3,Intermediate Accounting I,30,
202310,Fall 2022,12371,AC 300 02,3,Intermediate Accounting I,18,
202310,Fall 2022,12532,AC 301 01,3,Cost Mgmnt Systems,43,
202310,Fall 2022,12533,AC 301 02,3,Cost Mgmnt Systems,21,
202310,Fall 2022,12536,AC 302 01,3,Intro to Income Taxation,28,
202310,Fall 2022,12538,AC 302 02,3,Intro to Income Taxation,30,
202310,Fall 2022,12547,AC 335 01,3,Accounting Analytics,26,
202310,Fall 2022,12548,AC 335 02,3,Accounting Analytics,16,
202310,Fall 2022,12552,AC 340 01,3,Accounting Information Systems,28,
202310,Fall 2022,12551,AC 340 02,3,Accounting Information Systems,25,
202310,Fall 2022,14037,AC 350 01,3,Intermediate Accounting II,20,
202310,Fall 2022,14038,AC 350 02,3,Intermediate Accounting II,29,
202310,Fall 2022,14522,AC 398 01,3,Internship in Accounting,7,
202310,Fall 2022,14039,AC 400 01,3,Intermediate Accounting III,34,
202310,Fall 2022,14040,AC 400 02,3,Intermediate Accounting III,29,
202310,Fall 2022,14041,AC 402 01,3,Fund of Corporate Taxation,5,
202310,Fall 2022,12557,AC 410 01,3,Fraud Examination,16,
202310,Fall 2022,12562,AC 445 01,3,Auditing,40,
202310,Fall 2022,14552,AC 445 02,3,Auditing,20,
202310,Fall 2022,12570,AC 507 01,3,Advanced Accounting,21,
202310,Fall 2022,13456,AC 520 01,3,Managrl Analsis & Cost Control,16,
202310,Fall 2022,13461,AC 524 01,3,Accounting for Non-Profits,32,
202310,Fall 2022,12576,AC 531 01,3,Acc Inform for Decision Making,10,
202310,Fall 2022,12575,AC 531 02,3,Acc Inform for Decision Making,12,
202310,Fall 2022,14480,AC 543 01,3,Advanced Accounting Analytics,26,
202310,Fall 2022,13464,AC 544 01,3,Fin State Analysis/Valuation,28,35
202310,Fall 2022,14042,AC 545 01,3,Advanced Assurance Services,20,
202310,Fall 2022,13465,AC 552 01,3,Taxation of Business Entities,13,
202310,Fall 2022,13853,AC 582 01,0,Capstone Seminar,9,
202310,Fall 2022,10689,ACP 731 01,1,Anesthesia Clinical Practcm II,12,
202310,Fall 2022,10691,ACP 731 02,1,Anesthesia Clinical Practcm II,9,
202310,Fall 2022,12812,ACP 734 01,3,Advcd Ansths Clncl Practcm II,10,
202310,Fall 2022,12813,ACP 734 02,3,Advcd Ansths Clncl Practcm II,9,
202310,Fall 2022,14393,ACP 744 01,3,Adv Specl Clin Pract Anesth II,6,
202310,Fall 2022,11049,ACTL 335 01,3,Financial Mathematics I,12,
202310,Fall 2022,11052,ACTL 465 01,4,Long Term ACTL Models,4,5
202310,Fall 2022,11053,ACTL 565 01,4,Graduate Long Term ACTL Models,1,5
202310,Fall 2022,11750,AFAM 110 01,3,Intro to African-Amer Studies,34,
202310,Fall 2022,12656,AFAM 110 02,3,Intro to African-Amer Studies,34,
202310,Fall 2022,14607,AFAM 200 F01,3,Dim of Divrsity & Inequality,5,24
202310,Fall 2022,12858,AFAS 113 01,1,"Air Force Studies I, Part I",0,
202310,Fall 2022,12859,AFAS 113 02,1,"Air Force Studies I, Part I",2,
202310,Fall 2022,12860,AFAS 123 01,1,"Air Force Studies II, Part I",1,
202310,Fall 2022,12861,AFAS 235 01,3,"Air Force Studies III, Part I",0,
202310,Fall 2022,12862,AFAS 245 01,3,"Air Force Studies IV, Part I",0,
202310,Fall 2022,13533,AMS 110 01,3,Intro to American Studies,30,
202310,Fall 2022,14079,AMS 210 01,3,Tpc: Religion in America,3,39
202310,Fall 2022,14080,AMS 210 F02,3,Tpc:Italian-American Culture,0,24
202310,Fall 2022,10693,ANES 502 01,4,Prin Nurse Anesth Practc III,21,
202310,Fall 2022,10315,ANTH 140 01,3,Introduction to Anthropology,91,
202310,Fall 2022,10316,ANTH 150 01,3,Introduction to Archaeology,40,
202310,Fall 2022,10318,ANTH 151 01,1,Lab in Intro Archaeology,5,
202310,Fall 2022,10319,ANTH 160 01,3,Intro to Biological Anthro,34,
202310,Fall 2022,10320,ANTH 160 02,3,Intro to Biological Anthro,35,
202310,Fall 2022,10334,ANTH 161 01,1,Lab in Biological Anthropology,18,
202310,Fall 2022,13338,ANTH 170 01,3,Intro to Cultural Anthropology,43,
202310,Fall 2022,10321,ANTH 170 F01,3,Intro to Cultural Anthropology,25,
202310,Fall 2022,10323,ANTH 200 F01,3,Dimens of Diversity & Ineqlity,19,24
202310,Fall 2022,14703,ANTH 200 IS,3,Dimens of Diversity & Ineqlity,1,
202310,Fall 2022,13336,ANTH 250 01,3,Introduction to the Primates,34,
202310,Fall 2022,10328,ANTH 340 01,4,Theories of Culture,13,
202310,Fall 2022,14361,ANTH 401 01,4,City Life & Culture,19,
202310,Fall 2022,14818,ANTH 433 01,3,Independent Study in Anth,1,
202310,Fall 2022,10332,ANTH 437 01,3,Internship in Anthropology,6,8
202310,Fall 2022,10331,ANTH 489 01,1,Senior Thesis Preparation,9,
202310,Fall 2022,11819,ARAB 111 01,3,Elementary Arabic I,15,
202310,Fall 2022,14343,ARAB 125 01,3,Intermediate Arabic I,15,
202310,Fall 2022,11691,ART 099 01,0,Art Portfolio,7,
202310,Fall 2022,11692,ART 110 01,3,Introduction to Art History,97,
202310,Fall 2022,11694,ART 112 01,3,History of Art I,35,
202310,Fall 2022,14591,ART 112 02,3,History of Art I,33,
202310,Fall 2022,11695,ART 113 01,3,History of Art II,35,
202310,Fall 2022,14677,ART 113 02,3,History of Art II,35,
202310,Fall 2022,11696,ART 120 01,3,Design I,16,
202310,Fall 2022,11697,ART 120 02,3,Design I,15,
202310,Fall 2022,11700,ART 120 04,3,Design I,16,
202310,Fall 2022,11701,ART 120 05,3,Design I,16,
202310,Fall 2022,11703,ART 124 01,3,Three-Dimensional Design,14,
202310,Fall 2022,11704,ART 124 02,3,Three-Dimensional Design,14,
202310,Fall 2022,11706,ART 130 01,3,Drawing I,15,
202310,Fall 2022,11708,ART 130 03,3,Drawing I,15,
202310,Fall 2022,11709,ART 130 04,3,Drawing I,16,
202310,Fall 2022,11711,ART 130 05,3,Drawing I,16,
202310,Fall 2022,11712,ART 130 06,3,Drawing I,14,
202310,Fall 2022,14628,ART 130 07,3,Drawing I,14,
202310,Fall 2022,14682,ART 130 08,3,Drawing I,16,
202310,Fall 2022,11713,ART 216 01,3,Modern Art,30,
202310,Fall 2022,11714,ART 224 01,3,Illustration I,16,
202310,Fall 2022,11715,ART 224 02,3,Illustration I,16,
202310,Fall 2022,11717,ART 230 02,3,Drawing II,15,
202310,Fall 2022,11718,ART 240 01,3,Printmaking I,11,
202310,Fall 2022,11719,ART 247 01,3,Photography I,12,
202310,Fall 2022,11720,ART 247 02,3,Photography I,13,
202310,Fall 2022,11721,ART 247 03,3,Photography I,12,
202310,Fall 2022,11725,ART 252 01,3,Painting I,15,
202310,Fall 2022,11727,ART 260 01,3,Ceramics I,13,
202310,Fall 2022,11726,ART 261 01,3,Sculpture I,11,14
202310,Fall 2022,11728,ART 263 01,3,Crafts I,8,9
202310,Fall 2022,11729,ART 264 01,3,Dsgn-Hndcrft Mtrl/Tech I,1,9
202310,Fall 2022,14086,ART 270 01,3,Art in Community,4,10
202310,Fall 2022,11731,ART 301 01,3,Art Educ Theory & Practice I,13,
202310,Fall 2022,14088,ART 324 01,3,Illustration II,4,10
