Group_Combined,Group,Subgroup,Year,Metric,Value
All Students - First-Time,All Students,First-Time,2016,Spring Applications (N),580
All Students - First-Time,All Students,First-Time,2017,Spring Applications (N),560
All Students - First-Time,All Students,First-Time,2018,Spring Applications (N),458
All Students - First-Time,All Students,First-Time,2019,Spring Applications (N),401
All Students - First-Time,All Students,First-Time,2020,Spring Applications (N),378
All Students - First-Time,All Students,First-Time,2021,Spring Applications (N),390
All Students - First-Time,All Students,First-Time,2022,Spring Applications (N),427
All Students - First-Time,All Students,First-Time,2023,Spring Applications (N),791
All Students - First-Time,All Students,First-Time,2024,Spring Applications (N),677
All Students - First-Time,All Students,First-Time,2025,Spring Applications (N),802
All Students - First-Time,All Students,First-Time,2016,Spring Acceptances (N),393
All Students - First-Time,All Students,First-Time,2017,Spring Acceptances (N),395
All Students - First-Time,All Students,First-Time,2018,Spring Acceptances (N),320
All Students - First-Time,All Students,First-Time,2019,Spring Acceptances (N),275
All Students - First-Time,All Students,First-Time,2020,Spring Acceptances (N),268
All Students - First-Time,All Students,First-Time,2021,Spring Acceptances (N),300
All Students - First-Time,All Students,First-Time,2022,Spring Acceptances (N),295
All Students - First-Time,All Students,First-Time,2023,Spring Acceptances (N),405
All Students - First-Time,All Students,First-Time,2024,Spring Acceptances (N),347
All Students - First-Time,All Students,First-Time,2025,Spring Acceptances (N),423
All Students - First-Time,All Students,First-Time,2016,Spring Confirmations (N),71
All Students - First-Time,All Students,First-Time,2017,Spring Confirmations (N),87
All Students - First-Time,All Students,First-Time,2018,Spring Confirmations (N),78
All Students - First-Time,All Students,First-Time,2019,Spring Confirmations (N),61
All Students - First-Time,All Students,First-Time,2020,Spring Confirmations (N),51
All Students - First-Time,All Students,First-Time,2021,Spring Confirmations (N),64
All Students - First-Time,All Students,First-Time,2022,Spring Confirmations (N),80
All Students - First-Time,All Students,First-Time,2023,Spring Confirmations (N),100
All Students - First-Time,All Students,First-Time,2024,Spring Confirmations (N),111
All Students - First-Time,All Students,First-Time,2025,Spring Confirmations (N),159
All Students - First-Time,All Students,First-Time,2016,Full-Time New Enrollments (N),64
All Students - First-Time,All Students,First-Time,2017,Full-Time New Enrollments (N),75
All Students - First-Time,All Students,First-Time,2018,Full-Time New Enrollments (N),70
All Students - First-Time,All Students,First-Time,2019,Full-Time New Enrollments (N),48
All Students - First-Time,All Students,First-Time,2020,Full-Time New Enrollments (N),47
All Students - First-Time,All Students,First-Time,2021,Full-Time New Enrollments (N),63
All Students - First-Time,All Students,First-Time,2022,Full-Time New Enrollments (N),67
All Students - First-Time,All Students,First-Time,2023,Full-Time New Enrollments (N),62
All Students - First-Time,All Students,First-Time,2024,Full-Time New Enrollments (N),72
All Students - First-Time,All Students,First-Time,2025,Full-Time New Enrollments (N),85
All Students - First-Time,All Students,First-Time,2016,Part-Time New Enrollments (N),216
All Students - First-Time,All Students,First-Time,2017,Part-Time New Enrollments (N),192
All Students - First-Time,All Students,First-Time,2018,Part-Time New Enrollments (N),189
All Students - First-Time,All Students,First-Time,2019,Part-Time New Enrollments (N),169
All Students - First-Time,All Students,First-Time,2020,Part-Time New Enrollments (N),155
All Students - First-Time,All Students,First-Time,2021,Part-Time New Enrollments (N),165
All Students - First-Time,All Students,First-Time,2022,Part-Time New Enrollments (N),124
All Students - First-Time,All Students,First-Time,2023,Part-Time New Enrollments (N),173
All Students - First-Time,All Students,First-Time,2024,Part-Time New Enrollments (N),139
All Students - First-Time,All Students,First-Time,2025,Part-Time New Enrollments (N),147
All Students - First-Time,All Students,First-Time,2016,Total New Enrollments (N),280
All Students - First-Time,All Students,First-Time,2017,Total New Enrollments (N),267
All Students - First-Time,All Students,First-Time,2018,Total New Enrollments (N),259
All Students - First-Time,All Students,First-Time,2019,Total New Enrollments (N),217
All Students - First-Time,All Students,First-Time,2020,Total New Enrollments (N),202
All Students - First-Time,All Students,First-Time,2021,Total New Enrollments (N),228
All Students - First-Time,All Students,First-Time,2022,Total New Enrollments (N),191
All Students - First-Time,All Students,First-Time,2023,Total New Enrollments (N),235
All Students - First-Time,All Students,First-Time,2024,Total New Enrollments (N),211
All Students - First-Time,All Students,First-Time,2025,Total New Enrollments (N),232
All Students - First-Time,All Students,First-Time,2016,Acceptances / Applications,68
All Students - First-Time,All Students,First-Time,2017,Acceptances / Applications,71
All Students - First-Time,All Students,First-Time,2018,Acceptances / Applications,70
All Students - First-Time,All Students,First-Time,2019,Acceptances / Applications,69
All Students - First-Time,All Students,First-Time,2020,Acceptances / Applications,71
All Students - First-Time,All Students,First-Time,2021,Acceptances / Applications,77
All Students - First-Time,All Students,First-Time,2022,Acceptances / Applications,69
All Students - First-Time,All Students,First-Time,2023,Acceptances / Applications,51
All Students - First-Time,All Students,First-Time,2024,Acceptances / Applications,51
All Students - First-Time,All Students,First-Time,2025,Acceptances / Applications,53
All Students - First-Time,All Students,First-Time,2016,Enrollments / Applications,48
All Students - First-Time,All Students,First-Time,2017,Enrollments / Applications,48
All Students - First-Time,All Students,First-Time,2018,Enrollments / Applications,57
All Students - First-Time,All Students,First-Time,2019,Enrollments / Applications,54
All Students - First-Time,All Students,First-Time,2020,Enrollments / Applications,53
All Students - First-Time,All Students,First-Time,2021,Enrollments / Applications,58
All Students - First-Time,All Students,First-Time,2022,Enrollments / Applications,45
All Students - First-Time,All Students,First-Time,2023,Enrollments / Applications,30
All Students - First-Time,All Students,First-Time,2024,Enrollments / Applications,31
All Students - First-Time,All Students,First-Time,2025,Enrollments / Applications,29
All Students - First-Time,All Students,First-Time,2016,Enrollments / Acceptances,71
All Students - First-Time,All Students,First-Time,2017,Enrollments / Acceptances,68
All Students - First-Time,All Students,First-Time,2018,Enrollments / Acceptances,81
All Students - First-Time,All Students,First-Time,2019,Enrollments / Acceptances,79
All Students - First-Time,All Students,First-Time,2020,Enrollments / Acceptances,75
All Students - First-Time,All Students,First-Time,2021,Enrollments / Acceptances,76
All Students - First-Time,All Students,First-Time,2022,Enrollments / Acceptances,65
All Students - First-Time,All Students,First-Time,2023,Enrollments / Acceptances,58
All Students - First-Time,All Students,First-Time,2024,Enrollments / Acceptances,61
All Students - First-Time,All Students,First-Time,2025,Enrollments / Acceptances,55
All Students - All Others,All Students,All Others,2016,Spring Applications (N),8
All Students - All Others,All Students,All Others,2017,Spring Applications (N),12
All Students - All Others,All Students,All Others,2018,Spring Applications (N),14
All Students - All Others,All Students,All Others,2019,Spring Applications (N),10
All Students - All Others,All Students,All Others,2020,Spring Applications (N),11
All Students - All Others,All Students,All Others,2021,Spring Applications (N),5
All Students - All Others,All Students,All Others,2022,Spring Applications (N),10
All Students - All Others,All Students,All Others,2023,Spring Applications (N),4
All Students - All Others,All Students,All Others,2024,Spring Applications (N),16
All Students - All Others,All Students,All Others,2025,Spring Applications (N),15
All Students - All Others,All Students,All Others,2016,Spring Acceptances (N),7
All Students - All Others,All Students,All Others,2017,Spring Acceptances (N),10
All Students - All Others,All Students,All Others,2018,Spring Acceptances (N),14
All Students - All Others,All Students,All Others,2019,Spring Acceptances (N),10
All Students - All Others,All Students,All Others,2020,Spring Acceptances (N),10
All Students - All Others,All Students,All Others,2021,Spring Acceptances (N),3
All Students - All Others,All Students,All Others,2022,Spring Acceptances (N),6
All Students - All Others,All Students,All Others,2023,Spring Acceptances (N),4
All Students - All Others,All Students,All Others,2024,Spring Acceptances (N),8
All Students - All Others,All Students,All Others,2025,Spring Acceptances (N),10
All Students - All Others,All Students,All Others,2016,Spring Confirmations (N),0
All Students - All Others,All Students,All Others,2017,Spring Confirmations (N),1
