Group_Combined,Group,Year,Metric,Value
Full-Time,Full-Time,2015,Admissions / Applications,59
Full-Time,Full-Time,2016,Admissions / Applications,61
Full-Time,Full-Time,2017,Admissions / Applications,68
Full-Time,Full-Time,2018,Admissions / Applications,68
Full-Time,Full-Time,2019,Admissions / Applications,67
Full-Time,Full-Time,2020,Admissions / Applications,66
Full-Time,Full-Time,2021,Admissions / Applications,75
Full-Time,Full-Time,2022,Admissions / Applications,77
Full-Time,Full-Time,2023,Admissions / Applications,76
Full-Time,Full-Time,2024,Admissions / Applications,74
Full-Time,Full-Time,2015,Confirmations / Applications,17
Full-Time,Full-Time,2016,Confirmations / Applications,18
Full-Time,Full-Time,2017,Confirmations / Applications,20
Full-Time,Full-Time,2018,Confirmations / Applications,20
Full-Time,Full-Time,2019,Confirmations / Applications,19
Full-Time,Full-Time,2020,Confirmations / Applications,17
Full-Time,Full-Time,2021,Confirmations / Applications,19
Full-Time,Full-Time,2022,Confirmations / Applications,19
Full-Time,Full-Time,2023,Confirmations / Applications,19
Full-Time,Full-Time,2024,Confirmations / Applications,16
Full-Time,Full-Time,2015,Confirmations / Admissions,29
Full-Time,Full-Time,2016,Confirmations / Admissions,29
Full-Time,Full-Time,2017,Confirmations / Admissions,30
Full-Time,Full-Time,2018,Confirmations / Admissions,29
Full-Time,Full-Time,2019,Confirmations / Admissions,29
Full-Time,Full-Time,2020,Confirmations / Admissions,26
Full-Time,Full-Time,2021,Confirmations / Admissions,25
Full-Time,Full-Time,2022,Confirmations / Admissions,24
Full-Time,Full-Time,2023,Confirmations / Admissions,25
Full-Time,Full-Time,2024,Confirmations / Admissions,22
Full-Time,Full-Time,2015,Enrollments / Applications,16
Full-Time,Full-Time,2016,Enrollments / Applications,16
Full-Time,Full-Time,2017,Enrollments / Applications,18
Full-Time,Full-Time,2018,Enrollments / Applications,19
Full-Time,Full-Time,2019,Enrollments / Applications,18
Full-Time,Full-Time,2020,Enrollments / Applications,15
Full-Time,Full-Time,2021,Enrollments / Applications,17
Full-Time,Full-Time,2022,Enrollments / Applications,17
Full-Time,Full-Time,2023,Enrollments / Applications,17
Full-Time,Full-Time,2024,Enrollments / Applications,15
Full-Time,Full-Time,2015,Enrollments / Admissions,27
Full-Time,Full-Time,2016,Enrollments / Admissions,27
Full-Time,Full-Time,2017,Enrollments / Admissions,27
Full-Time,Full-Time,2018,Enrollments / Admissions,27
Full-Time,Full-Time,2019,Enrollments / Admissions,27
Full-Time,Full-Time,2020,Enrollments / Admissions,24
Full-Time,Full-Time,2021,Enrollments / Admissions,23
Full-Time,Full-Time,2022,Enrollments / Admissions,22
Full-Time,Full-Time,2023,Enrollments / Admissions,23
Full-Time,Full-Time,2024,Enrollments / Admissions,21
Full-Time,Full-Time,2015,Enrollments / Confirmations,93
Full-Time,Full-Time,2016,Enrollments / Confirmations,92
Full-Time,Full-Time,2017,Enrollments / Confirmations,91
Full-Time,Full-Time,2018,Enrollments / Confirmations,93
Full-Time,Full-Time,2019,Enrollments / Confirmations,92
Full-Time,Full-Time,2020,Enrollments / Confirmations,91
Full-Time,Full-Time,2021,Enrollments / Confirmations,92
Full-Time,Full-Time,2022,Enrollments / Confirmations,93
Full-Time,Full-Time,2023,Enrollments / Confirmations,92
Full-Time,Full-Time,2024,Enrollments / Confirmations,93
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2015,Enrollments (N),871
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2016,Enrollments (N),827
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2017,Enrollments (N),795
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2018,Enrollments (N),771
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2019,Enrollments (N),715
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2020,Enrollments (N),623
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2021,Enrollments (N),586
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2022,Enrollments (N),609
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2023,Enrollments (N),658
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2024,Enrollments (N),670
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2015,Admissions / Applications,77
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2016,Admissions / Applications,74
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2017,Admissions / Applications,74
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2018,Admissions / Applications,73
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2019,Admissions / Applications,74
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2020,Admissions / Applications,74
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2021,Admissions / Applications,76
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2022,Admissions / Applications,67
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2023,Admissions / Applications,67
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2024,Admissions / Applications,67
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2015,Confirmations / Applications,56
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2016,Confirmations / Applications,55
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2017,Confirmations / Applications,54
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2018,Confirmations / Applications,54
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2019,Confirmations / Applications,54
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2020,Confirmations / Applications,54
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2021,Confirmations / Applications,56
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2022,Confirmations / Applications,47
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2023,Confirmations / Applications,47
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2024,Confirmations / Applications,47
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2015,Confirmations / Admissions,73
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2016,Confirmations / Admissions,75
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2017,Confirmations / Admissions,73
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2018,Confirmations / Admissions,73
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2019,Confirmations / Admissions,73
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2020,Confirmations / Admissions,73
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2021,Confirmations / Admissions,73
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2022,Confirmations / Admissions,69
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2023,Confirmations / Admissions,71
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2024,Confirmations / Admissions,71
Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,Enrollments / Confirmations 93% 92% 91% 93% 92% 91% 92% 93% 92% 93%,2015,Enrollments / Applications,49
