Group_Combined,Group,Subgroup,Year,Metric,Value
All Students — Total,All Students,Total,2016,Applications (N),1317
All Students — Total,All Students,Total,2017,Applications (N),1443
All Students — Total,All Students,Total,2018,Applications (N),1337
All Students — Total,All Students,Total,2019,Applications (N),1294
All Students — Total,All Students,Total,2020,Applications (N),1122
All Students — Total,All Students,Total,2021,Applications (N),1050
All Students — Total,All Students,Total,2022,Applications (N),1298
All Students — Total,All Students,Total,2023,Applications (N),1437
All Students — Total,All Students,Total,2024,Applications (N),1456
All Students — Total,All Students,Total,2025,Applications (N),1472
All Students — Total,All Students,Total,2016,Admissions (N),800
All Students — Total,All Students,Total,2017,Admissions (N),906
All Students — Total,All Students,Total,2018,Admissions (N),869
All Students — Total,All Students,Total,2019,Admissions (N),866
All Students — Total,All Students,Total,2020,Admissions (N),743
All Students — Total,All Students,Total,2021,Admissions (N),708
All Students — Total,All Students,Total,2022,Admissions (N),846
All Students — Total,All Students,Total,2023,Admissions (N),867
All Students — Total,All Students,Total,2024,Admissions (N),909
All Students — Total,All Students,Total,2025,Admissions (N),944
All Students — Total,All Students,Total,2016,Confirmations (N),449
All Students — Total,All Students,Total,2017,Confirmations (N),508
All Students — Total,All Students,Total,2018,Confirmations (N),475
All Students — Total,All Students,Total,2019,Confirmations (N),461
All Students — Total,All Students,Total,2020,Confirmations (N),414
All Students — Total,All Students,Total,2021,Confirmations (N),380
All Students — Total,All Students,Total,2022,Confirmations (N),464
All Students — Total,All Students,Total,2023,Confirmations (N),496
All Students — Total,All Students,Total,2024,Confirmations (N),555
All Students — Total,All Students,Total,2025,Confirmations (N),602
All Students — Total,All Students,Total,2016,Enrollments (N),593
All Students — Total,All Students,Total,2017,Enrollments (N),666
All Students — Total,All Students,Total,2018,Enrollments (N),647
All Students — Total,All Students,Total,2019,Enrollments (N),609
All Students — Total,All Students,Total,2020,Enrollments (N),537
All Students — Total,All Students,Total,2021,Enrollments (N),529
All Students — Total,All Students,Total,2022,Enrollments (N),510
All Students — Total,All Students,Total,2023,Enrollments (N),515
All Students — Total,All Students,Total,2024,Enrollments (N),543
All Students — Total,All Students,Total,2025,Enrollments (N),570
All Students — Total,All Students,Total,2016,Admissions / Applications,61
All Students — Total,All Students,Total,2017,Admissions / Applications,63
All Students — Total,All Students,Total,2018,Admissions / Applications,65
All Students — Total,All Students,Total,2019,Admissions / Applications,67
All Students — Total,All Students,Total,2020,Admissions / Applications,66
All Students — Total,All Students,Total,2021,Admissions / Applications,67
All Students — Total,All Students,Total,2022,Admissions / Applications,65
All Students — Total,All Students,Total,2023,Admissions / Applications,60
All Students — Total,All Students,Total,2024,Admissions / Applications,62
All Students — Total,All Students,Total,2025,Admissions / Applications,64
All Students — Total,All Students,Total,2016,Confirmations / Applications,34
All Students — Total,All Students,Total,2017,Confirmations / Applications,35
All Students — Total,All Students,Total,2018,Confirmations / Applications,36
All Students — Total,All Students,Total,2019,Confirmations / Applications,36
All Students — Total,All Students,Total,2020,Confirmations / Applications,37
All Students — Total,All Students,Total,2021,Confirmations / Applications,36
All Students — Total,All Students,Total,2022,Confirmations / Applications,36
All Students — Total,All Students,Total,2023,Confirmations / Applications,35
All Students — Total,All Students,Total,2024,Confirmations / Applications,38
All Students — Total,All Students,Total,2025,Confirmations / Applications,41
All Students — Total,All Students,Total,2016,Confirmations / Admissions,56
All Students — Total,All Students,Total,2017,Confirmations / Admissions,56
All Students — Total,All Students,Total,2018,Confirmations / Admissions,55
All Students — Total,All Students,Total,2019,Confirmations / Admissions,53
All Students — Total,All Students,Total,2020,Confirmations / Admissions,56
All Students — Total,All Students,Total,2021,Confirmations / Admissions,54
All Students — Total,All Students,Total,2022,Confirmations / Admissions,55
All Students — Total,All Students,Total,2023,Confirmations / Admissions,57
All Students — Total,All Students,Total,2024,Confirmations / Admissions,61
All Students — Total,All Students,Total,2025,Confirmations / Admissions,64
All Students — Total,All Students,Total,2016,Enrollments / Applications,45
All Students — Total,All Students,Total,2017,Enrollments / Applications,46
All Students — Total,All Students,Total,2018,Enrollments / Applications,48
All Students — Total,All Students,Total,2019,Enrollments / Applications,47
All Students — Total,All Students,Total,2020,Enrollments / Applications,48
All Students — Total,All Students,Total,2021,Enrollments / Applications,50
All Students — Total,All Students,Total,2022,Enrollments / Applications,39
All Students — Total,All Students,Total,2023,Enrollments / Applications,36
All Students — Total,All Students,Total,2024,Enrollments / Applications,37
All Students — Total,All Students,Total,2025,Enrollments / Applications,39
All Students — Total,All Students,Total,2016,Enrollments / Admissions,74
All Students — Total,All Students,Total,2017,Enrollments / Admissions,74
All Students — Total,All Students,Total,2018,Enrollments / Admissions,74
All Students — Total,All Students,Total,2019,Enrollments / Admissions,70
