Group_Combined,Group,Subgroup,Year,Metric,Value
All Students - First-Time,All Students,First-Time,2025,Winter Applications (N),0
All Students - First-Time,All Students,First-Time,2026,Winter Applications (N),
All Students - First-Time,All Students,First-Time,2025,Winter Acceptances (N),0
All Students - First-Time,All Students,First-Time,2026,Winter Acceptances (N),
All Students - First-Time,All Students,First-Time,2025,Winter Confirmations (N),0
All Students - First-Time,All Students,First-Time,2026,Winter Confirmations (N),
All Students - First-Time,All Students,First-Time,2025,Total New Enrollments (N),0
All Students - First-Time,All Students,First-Time,2026,Total New Enrollments (N),
All Students - First-Time,All Students,First-Time,2025,Acceptances / Applications,
All Students - First-Time,All Students,First-Time,2026,Acceptances / Applications,
All Students - First-Time,All Students,First-Time,2025,Enrollments / Applications,
All Students - First-Time,All Students,First-Time,2026,Enrollments / Applications,
All Students - First-Time,All Students,First-Time,2025,Enrollments / Acceptances,
All Students - First-Time,All Students,First-Time,2026,Enrollments / Acceptances,
All Students - Transfer,All Students,Transfer,2025,Winter Applications (N),30
All Students - Transfer,All Students,Transfer,2026,Winter Applications (N),
All Students - Transfer,All Students,Transfer,2025,Winter Acceptances (N),9
All Students - Transfer,All Students,Transfer,2026,Winter Acceptances (N),
All Students - Transfer,All Students,Transfer,2025,Winter Confirmations (N),9
All Students - Transfer,All Students,Transfer,2026,Winter Confirmations (N),
All Students - Transfer,All Students,Transfer,2025,Total New Enrollments (N),5
All Students - Transfer,All Students,Transfer,2026,Total New Enrollments (N),
All Students - Transfer,All Students,Transfer,2025,Acceptances / Applications,30
All Students - Transfer,All Students,Transfer,2026,Acceptances / Applications,
All Students - Transfer,All Students,Transfer,2025,Enrollments / Applications,17
All Students - Transfer,All Students,Transfer,2026,Enrollments / Applications,
All Students - Transfer,All Students,Transfer,2025,Enrollments / Acceptances,56
All Students - Transfer,All Students,Transfer,2026,Enrollments / Acceptances,
All Students - All Others,All Students,All Others,2025,Winter Applications (N),8
All Students - All Others,All Students,All Others,2026,Winter Applications (N),
All Students - All Others,All Students,All Others,2025,Winter Acceptances (N),5
All Students - All Others,All Students,All Others,2026,Winter Acceptances (N),
All Students - All Others,All Students,All Others,2025,Winter Confirmations (N),5
All Students - All Others,All Students,All Others,2026,Winter Confirmations (N),
All Students - All Others,All Students,All Others,2025,Total New Enrollments (N),5
All Students - All Others,All Students,All Others,2026,Total New Enrollments (N),
All Students - All Others,All Students,All Others,2025,Acceptances / Applications,63
All Students - All Others,All Students,All Others,2026,Acceptances / Applications,
All Students - All Others,All Students,All Others,2025,Enrollments / Applications,63
All Students - All Others,All Students,All Others,2026,Enrollments / Applications,
All Students - All Others,All Students,All Others,2025,Enrollments / Acceptances,100
All Students - All Others,All Students,All Others,2026,Enrollments / Acceptances,
All Students - Total Students,All Students,Total Students,2025,Winter Applications (N),38
All Students - Total Students,All Students,Total Students,2026,Winter Applications (N),0
All Students - Total Students,All Students,Total Students,2025,Winter Acceptances (N),14
All Students - Total Students,All Students,Total Students,2026,Winter Acceptances (N),0
All Students - Total Students,All Students,Total Students,2025,Winter Confirmations (N),14
All Students - Total Students,All Students,Total Students,2026,Winter Confirmations (N),0
All Students - Total Students,All Students,Total Students,2025,Total New Enrollments (N),10
All Students - Total Students,All Students,Total Students,2026,Total New Enrollments (N),0
All Students - Total Students,All Students,Total Students,2025,Acceptances / Applications,37
All Students - Total Students,All Students,Total Students,2026,Acceptances / Applications,
All Students - Total Students,All Students,Total Students,2025,Enrollments / Applications,26
All Students - Total Students,All Students,Total Students,2026,Enrollments / Applications,
All Students - Total Students,All Students,Total Students,2025,Enrollments / Acceptances,71
All Students - Total Students,All Students,Total Students,2026,Enrollments / Acceptances,
Men - First-Time,Men,First-Time,2025,Winter Applications (N),0
Men - First-Time,Men,First-Time,2026,Winter Applications (N),
Men - First-Time,Men,First-Time,2025,Winter Acceptances (N),0
Men - First-Time,Men,First-Time,2026,Winter Acceptances (N),
Men - First-Time,Men,First-Time,2025,Winter Confirmations (N),0
Men - First-Time,Men,First-Time,2026,Winter Confirmations (N),
Men - First-Time,Men,First-Time,2025,Total New Enrollments (N),0
Men - First-Time,Men,First-Time,2026,Total New Enrollments (N),
Men - First-Time,Men,First-Time,2025,Acceptances / Applications,
Men - First-Time,Men,First-Time,2026,Acceptances / Applications,
Men - First-Time,Men,First-Time,2025,Enrollments / Applications,
Men - First-Time,Men,First-Time,2026,Enrollments / Applications,
Men - First-Time,Men,First-Time,2025,Enrollments / Acceptances,
Men - First-Time,Men,First-Time,2026,Enrollments / Acceptances,
Men - Transfer,Men,Transfer,2025,Winter Applications (N),6
Men - Transfer,Men,Transfer,2026,Winter Applications (N),
Men - Transfer,Men,Transfer,2025,Winter Acceptances (N),2
Men - Transfer,Men,Transfer,2026,Winter Acceptances (N),
Men - Transfer,Men,Transfer,2025,Winter Confirmations (N),2
Men - Transfer,Men,Transfer,2026,Winter Confirmations (N),
Men - Transfer,Men,Transfer,2025,Total New Enrollments (N),1
Men - Transfer,Men,Transfer,2026,Total New Enrollments (N),
Men - Transfer,Men,Transfer,2025,Acceptances / Applications,33
Men - Transfer,Men,Transfer,2026,Acceptances / Applications,
Men - Transfer,Men,Transfer,2025,Enrollments / Applications,17
Men - Transfer,Men,Transfer,2026,Enrollments / Applications,
Men - Transfer,Men,Transfer,2025,Enrollments / Acceptances,50
