,,,,,,,,,,,,,,,,,,,,,,,,,,Total All Students,,,,,,,,,Description,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Gender,,,,,,M,,,W,,,All,,,"In Spring 2025, the university enrolled 2,319 students overall, with women (W) outnumbering men (M). CLASS (College of Liberal Arts & Social Sciences) enrolled 703 students, SEST (School of Engineering, Science, & Technology) had 608, BS (School of Business) had 455, CHRS (College of Health & Rehabilitation Sciences) enrolled 293, and ED (School of Education) had 260. Degree codes include BA/BS (Bachelor of Arts/Science), MA/MS (Master of Arts/Science), MBA (Master of Business Administration), BGS (Bachelor of General Studies), ED.D (Doctor of Education), DNAP (Doctor of Nurse Anesthesia Practice), GRADCERT/OCP (Graduate or Post-BA Certificate), and SYC/PM CERT (Sixth Year/Post-Master’s Certificate).",,,,,,,,,,,,
School,,Program Name,,,Degree_,,,,,,Degreecde,,,,,,OHEcde,,,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,,Advanced Detective Certificate,,,Post-BA-Cert,,,,,,OCP,,,,,,19979,,,430114,,,,,,2,,,2,,,4,,,,,,,,,,,,,,,
CLASS,,Anthropology,,,Bachelors,,,,,,BA,,,,,,00103,,,450201,,,,,,5,,,1,,,6,,,,,,,,,,,,,,,
CLASS,,Applied Linguistics,,,Master's,,,,,,MA,,,,,,00070,,,131401,,,,,,1,,,4,,,5,,,,,,,,,,,,,,,
CLASS,,Art,,,Bachelors,,,,,,BA,,,,,,02519,,,500701,,,,,,3,,,6,,,9,,,,,,,,,,,,,,,
CLASS,,Art Education,,,Bachelors,,,,,,BS_Teach,,,,,,00054,,,131302,,,,,,,,,7,,,7,,,,,,,,,,,,,,,
CLASS,,Art Education,,,Master's,,,,,,MS,,,,,,00055,,,131302,,,,,,,,,4,,,4,,,,,,,,,,,,,,,
CLASS,,Art Education,,,Post-BA-Cert,,,,,,GRADCERT,,,,,,10167,,,131302,,,,,,,,,2,,,2,,,,,,,,,,,,,,,
CLASS,,Criminal Justice,,,Master's,,,,,,MS,,,,,,02965,,,430104,,,,,,5,,,14,,,19,,,,,,,,,,,,,,,
CLASS,,Criminology,,,Bachelors,,,,,,BA,,,,,,03127,,,450401,,,,,,34,,,71,,,105,,,,,,,,,,,,,,,
CLASS,,Cultural Resource Management,,,Cert-Below Bachelors,,,,,,C1,,,,,,22215,,,301202,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
CLASS,,Cultural Resource Management,,,Post-BA-Cert,,,,,,OCP,,,,,,22214,,,301202,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
CLASS,,Detective Certificate,,,Cert-Below Bachelors,,,,,,C1,,,,,,19982,,,430114,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,
CLASS,,Economics,,,Bachelors,,,,,,BA,,,,,,00104,,,450601,,,,,,18,,,5,,,23,,,,,,,,,,,,,,,
CLASS,,English,,,Bachelors,,,,,,BA,,,,,,00079,,,230101,,,,,,5,,,13,,,18,,,,,,,,,,,,,,,
CLASS,,English,,,Bachelors,,,,,,BS_Teach,,,,,,00079,,,230101,,,,,,3,,,2,,,5,,,,,,,,,,,,,,,
CLASS,,English,,,Master's,,,,,,MA,,,,,,00080,,,230101,,,,,,1,,,4,,,5,,,,,,,,,,,,,,,
CLASS,,French,,,Bachelors,,,,,,BA,,,,,,00073,,,160901,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
CLASS,,"French, German, Italian & Spanish",,,Post-BA-Cert,,,,,,GRADCERT,,,,,,10171,,,131306,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
CLASS,,General Studies,,,Bachelors,,,,,,BGS,,,,,,20405,,,240102,,,,,,14,,,21,,,35,,,,,,,,,,,,,,,
CLASS,,Geography,,,Bachelors,,,,,,BA,,,,,,00105,,,450701,,,,,,5,,,2,,,7,,,,,,,,,,,,,,,
CLASS,,Geography,,,Master's,,,,,,MS,,,,,,00106,,,450701,,,,,,1,,,2,,,3,,,,,,,,,,,,,,,
CLASS,,Gerontology,,,Cert-Below Bachelors,,,,,,C1,,,,,,20603,,,190702,,,,,,1,,,3,,,4,,,,,,,,,,,,,,,
CLASS,,Graphic/Information Design,,,Bachelors,,,,,,BA,,,,,,07020,,,500401,,,,,,17,,,19,,,36,,,,,,,,,,,,,,,
CLASS,,History,,,Bachelors,,,,,,BA,,,,,,00107,,,540101,,,,,,15,,,6,,,21,,,,,,,,,,,,,,,
