,,,,,,Year,2020-21,2021-22,2022-23,2023-24,2024-25,,,Description,,,,,,,,,,,,,,,,
School,Program Name,Conc_Desc,Degree_,Degree Cde,OHEcde,Cip 2020,N,N,N,N,N,,,"In Spring 2025, the university enrolled 2,319 students overall, with women (W) outnumbering men (M). CLASS (College of Liberal Arts & Social Sciences) enrolled 703 students, SEST (School of Engineering, Science, & Technology) had 608, BS (School of Business) had 455, CHRS (College of Health & Rehabilitation Sciences) enrolled 293, and ED (School of Education) had 260. Degree codes include BA/BS (Bachelor of Arts/Science), MA/MS (Master of Arts/Science), MBA (Master of Business Administration), BGS (Bachelor of General Studies), ED.D (Doctor of Education), DNAP (Doctor of Nurse Anesthesia Practice), GRADCERT/OCP (Graduate or Post-BA Certificate), and SYC/PM CERT (Sixth Year/Post-Master’s Certificate).",,,,,,,,,,,,,,,,
CLASS,Advanced Detective Certificate,,Post-BA-Cert,OCP,19979,430114,,,5,4,4,,,,,,,,,,,,,,,,,,,
CLASS,Advanced Detective Certificate,Total,Total,Total,Total,Total,,,5,4,4,,,,,,,,,,,,,,,,,,,
CLASS,Anthropology,,Bachelors,BA,00103,450201,8,10,13,4,6,,,,,,,,,,,,,,,,,,,
CLASS,Anthropology,Total,Total,Total,Total,Total,8,10,13,4,6,,,,,,,,,,,,,,,,,,,
CLASS,Applied Linguistics,,Master's,MS,00070,131401,4,,,,,,,,,,,,,,,,,,,,,,,
CLASS,Applied Linguistics,Language Policy & Planning,Master's,MA,00070,131401,,,,,2,,,,,,,,,,,,,,,,,,,
CLASS,Applied Linguistics,Tesol,Master's,MA,00070,131401,8,9,4,7,3,,,,,,,,,,,,,,,,,,,
CLASS,Applied Linguistics,Total,Total,Total,Total,Total,12,9,4,7,5,,,,,,,,,,,,,,,,,,,
CLASS,Art,,Bachelors,BA,02519,500701,11,4,12,5,9,,,,,,,,,,,,,,,,,,,
CLASS,Art,Total,Total,Total,Total,Total,11,4,12,5,9,,,,,,,,,,,,,,,,,,,
CLASS,Art Education,,Bachelors,BS_Teach,00054,131302,5,8,2,7,7,,,,,,,,,,,,,,,,,,,
