,,,,,,Term,Fall 2020,Fall 2021,Fall 2022,Fall 2023,Fall 2024,Description,,,,,,,,,,,,,,,
Program's School,Department,Program Name,Concentration,Credential ,OHE,CIP,N,N,N,N,N,"This dataset provides a university-wide enrollment snapshot (Fall 2020–Fall 2024), broken down by School, Department, Program, Concentration, and Credential type. Each row includes official state (OHE) and federal (CIP) program codes, with N indicating headcount for each term.

Key abbreviations (credentials):

BA/BS = Bachelor of Arts/Science • BS-Teach = Bachelor’s program for teacher preparation

MA/MS/MBA/MSN/MSW = master’s degrees (e.g., Master of Arts, Science, Business, Nursing, Social Work)

ED.D = Doctor of Education • DNAP = Doctor of Nurse Anesthesia Practice

GRADCERT = Graduate Certificate • OCP = Official Certificate Program

SYC = Sixth-Year Certificate • PM CERT = Post-Master’s Certificate

Overall trends (Fall 2020 ? Fall 2024):

Total enrollment declined slightly from 10,652 (2020) to 9,997 (2024), with a low point in 2022 (9,468).

Arts & Social Sciences shrank from 2,970 ? 2,525, with losses in English, Economics, and Journalism, though Criminology and Psychological Science remain large.

Business fluctuated but remained strong (1,874 ? 1,722), with Finance, Marketing, and Accounting trending downward, while MIS and new joint programs (e.g., Business Analytics) expanded.

Education declined (962 ? 795), particularly in Elementary and Special Education teacher-prep pipelines, though graduate credentials (Ed Leadership SYC, Ed.D tracks) remain robust.

Health & Rehabilitation Sciences grew significantly (1,307 ? 1,514), driven by Nursing (BSN, 232?479), Counselor Education, and advanced practice degrees (DNAP).

Engineering, Science & Technology stabilized after a dip (2,895 ? 2,763), with strong growth in Computer Science, Cybersecurity, Data Science (MS), and Mechanical/Construction Engineering, while traditional sciences (Biology, Chemistry, Physics) declined.

No School/Inter-School programs (e.g., Non-Matriculated UG, Exchange, Undecided) rose, especially in Non-Matriculated UG (190?338).",,,,,,,,,,,,,,,
Arts & Social Sciences,Art & Design,Art,,BA,02519,500701,42,40,50,51,52,,,,,,,,,,,,,,,,
Arts & Social Sciences,Art & Design,Art,Painting,BA,02519,500701,1,,,,,,,,,,,,,,,,,,,,
Arts & Social Sciences,Art & Design,Art Education,,BS-Teach,00054,131302,44,37,50,56,54,,,,,,,,,,,,,,,,
Arts & Social Sciences,Art & Design,Art Education,,GRADCERT,10167,131302,11,10,5,13,16,,,,,,,,,,,,,,,,
Arts & Social Sciences,Art & Design,Art Education,,MS,00055,131302,11,12,10,13,12,,,,,,,,,,,,,,,,
Arts & Social Sciences,Art & Design,Graphic/Information Design,,BA,07020,500401,146,140,156,142,132,,,,,,,,,,,,,,,,
Arts & Social Sciences,Art & Design,Information Design,,MA,06297,500401,12,10,6,4,2,,,,,,,,,,,,,,,,
Arts & Social Sciences,Communication,Media Studies,,BA,18099,090102,15,10,2,3,6,,,,,,,,,,,,,,,,
Arts & Social Sciences,Communication,Media Studies,Digital Filmkng & Telvsn Prodc,BA,18099,090102,58,53,65,63,45,,,,,,,,,,,,,,,,
