Semester,School,Undergrad Credit Hours,Graduate Credit Hours,Total Credit Hours,Graduate Extra Credit,Grand Total Credit Hours,FTE Undergrad,FTE Graduate,FTE Total,Description,,,,,,,,,,,,
Spring 2015,Arts & Sciences,49776,5951,55727,2294,58021,3318,397,3906,"This table presents the Spring 2015 Student Credit Hours (SCH) and Full-Time Equivalent (FTE) enrollments at CCSU, organized by school. It shows undergraduate and graduate teaching activity, includes graduate “extra credit,” and converts totals into FTE enrollments.

By School (Spring 2015):

Arts & Sciences – the largest unit, producing 58,021 total credit hours, equivalent to 3,906 FTEs.

Business – generated 14,247 credit hours for 961 FTEs.

Education & Professional Studies – produced 16,861 credit hours, translating to 1,230 FTEs.

Engineering, Science & Technology – contributed 39,838 credit hours, supporting 2,715 FTEs.

No School – a small category, with 671 credit hours and 45 FTEs.

Column meanings:

Undergrad / Graduate Credit Hours – credit hours taught at each level.

Graduate Extra Credit – weighting adjustment applied to graduate instruction.

Grand Total Credit Hours – combined credit load after adjustments.

FTE Undergrad / Graduate / Total – full-time equivalent enrollments (UG SCH ÷ 15, GR SCH ÷ 12).",,,,,,,,,,,,
Spring 2015,Business,11919,1683,13602,645,14247,795,112,961,,,,,,,,,,,,,
Spring 2015,Education & Professional Studies,9139,1393,10532,6329,16861,609,93,1230,,,,,,,,,,,,,
Spring 2015,"Engineering, Science & Technology",31603,4713,36315,3523,39838,2107,314,2715,,,,,,,,,,,,,
Spring 2015,No School,617,44,661,10,671,41,3,45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
