Semester,School,Undergrad Credit Hours,Graduate Credit Hours,Total Credit Hours,FTE Undergrad,FTE Graduate,FTE Total,Descriptions,,,,,,,,,,
Spring 2018,Liberal Arts & Social Sciences,53125,2152,55277,3542,179,3721,"This table shows the Spring 2018 Student Credit Hours (SCH) and Full-Time Equivalent (FTE) enrollments at CCSU, broken down by school. It highlights undergraduate and graduate teaching activity, and converts totals into standardized FTE counts.

By School (Spring 2018):

Liberal Arts & Social Sciences – the largest unit, with 55,277 total credit hours, translating into 3,721 FTEs.

Business – generated 17,094 credit hours, supporting 1,136 FTEs.

Education & Professional Studies – contributed 16,659 credit hours, equal to 1,228 FTEs.

Engineering, Science & Technology – produced 35,932 credit hours, for 2,446 FTEs.

No School – minimal, at 290 credit hours and 20 FTEs.

Column meanings:

Undergrad / Graduate Credit Hours – credits taught at each level.

Total Credit Hours – combined undergrad and grad hours.

FTE Undergrad / Graduate / Total – standardized enrollment equivalents (UG SCH ÷ 15, GR SCH ÷ 12).",,,,,,,,,,
Spring 2018,Business,15273,1821,17094,1018,118,1136,,,,,,,,,,,
Spring 2018,Education & Professional Studies,9569,7090,16659,638,590,1228,,,,,,,,,,,
Spring 2018,"Engineering, Science & Technology",32843,3089,35932,2189,257,2446,,,,,,,,,,,
Spring 2018,No School,273,17,290,18,1,20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
