Semester,School,Undergrad Credit Hours,Graduate Credit Hours,Total Credit Hours,Grand Total Credit Hours,FTE Undergrad,FTE Graduate,FTE Total,Description,,,,,,,,,,,
Spring 2022,Liberal Arts & Social Sciences,37298,1018,41392,43281,2487,85,2759,"This table presents the Spring 2022 Student Credit Hours (SCH) and Full-Time Equivalent (FTE) enrollments at CCSU, broken down by school. It summarizes both undergraduate and graduate instruction, adds graduate “extra credit” adjustments, and converts totals into FTEs.

By School (Spring 2022):

Liberal Arts & Social Sciences – the largest contributor with 43,281 credit hours, supporting about 2,759 FTEs.

Business – generated 12,708 credit hours, translating into 742 FTEs.

Education – contributed 5,479 credit hours, equaling 155 FTEs.

Health & Rehabilitation Sciences – produced 8,515 credit hours, for 432 FTEs.

Engineering, Science & Technology – delivered 30,280 credit hours, equal to 1,838 FTEs.

Column meanings:

Undergrad / Graduate Credit Hours – credits taught at each level.

Total Credit Hours – sum of UG + GR credits.

Grand Total Credit Hours – overall hours after graduate adjustments.

FTE Undergrad / Graduate / Total – standardized enrollments (UG SCH ÷ 15, GR SCH ÷ 12).",,,,,,,,,,,
Spring 2022,Business,9861,849,11133,12708,657,71,742,,,,,,,,,,,,
Spring 2022,Education,1832,657,2326,5479,122,55,155,,,,,,,,,,,,
Spring 2022,Health & Rehabilitation Sciences,5427,1056,6480,8515,362,88,432,,,,,,,,,,,,
Spring 2022,"Engineering, Science & Technology",23549,1391,27566,30280,1570,116,1838,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
