Semester,School,Undergrad Credit Hours,Graduate Credit Hours,Total Credit Hours,FTE Undergrad,FTE Graduate,FTE Total,Description,,,,,,,,,,
Spring 2025,Liberal Arts & Social Sciences,45714,2051,47765,3048,171,3218,"This table shows the Spring 2025 Student Credit Hours (SCH) and Full-Time Equivalent (FTE) enrollments at CCSU, broken down by school. It captures both undergraduate and graduate instructional activity and converts totals into standardized FTE enrollments.

By School (Spring 2025):

Liberal Arts & Social Sciences – the largest unit, generating 47,765 credit hours, equal to 3,218 FTEs.

Business – produced 15,234 credit hours, translating into 1,042 FTEs.

Education – contributed 5,622 credit hours, supporting 424 FTEs.

Health & Rehabilitation Sciences – delivered 9,371 credit hours, for 678 FTEs.

Engineering, Science & Technology – the second-largest unit, with 33,439 credit hours, equating to 2,264 FTEs.

Column meanings:

Undergrad / Graduate Credit Hours – credit hours taught at each level.

Total Credit Hours – combined UG + GR load.

FTE Undergrad / Graduate / Total – standardized enrollments (UG SCH ÷ 15, GR SCH ÷ 12).",,,,,,,,,,
Spring 2025,Business,13665,1569,15234,911,131,1042,,,,,,,,,,,
Spring 2025,Education,2641,2981,5622,176,248,424,,,,,,,,,,,
Spring 2025,Health & Rehabilitation Sciences,6199,3172,9371,413,264,678,,,,,,,,,,,
Spring 2025,"Engineering, Science & Technology",31341,2098,33439,2089,175,2264,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
