Semester,CLASS,Business,Education,CHRS,SEST,No School,University Total,Description,,,,,,,,,,,,,
Spring 2021,45889,14162,5528,9231,33000,227,108037,"This table summarizes the Spring 2021–Spring 2025 University-wide Student Credit Hours (SCH) at CCSU, broken down by major schools. It shows the distribution of instructional activity across the colleges and the overall university totals.

Column meanings:

CLASS – Liberal Arts & Social Sciences

Business – School of Business

Education – School of Education

CHRS – College of Health & Rehabilitation Sciences

SEST – School of Engineering, Science & Technology

No School – credits not tied to a specific school

University Total – combined credit hours across all schools

Key Trends (Spring 2021 ? Spring 2025):

University Total grew from 108,037 (Spring 2021) to 111,692 (Spring 2025), showing overall stability with slight recovery after 2022.

CLASS (Liberal Arts & Social Sciences) remained the largest contributor, increasing from 45,889 to 47,765 credit hours.

Business steadily expanded, from 14,162 to 15,234 credit hours.

Education stayed consistent, around 5,500–5,700 credit hours.

CHRS (Health & Rehabilitation Sciences) grew from 9,231 to 9,371 credit hours, indicating stable demand.

SEST (Engineering, Science & Technology) remained a major contributor, fluctuating around 30,000–33,000 credit hours.

No School values varied but stayed minimal compared to other units.",,,,,,,,,,,,,
Spring 2022,43281,12708,5479,8515,30280,298,100560,,,,,,,,,,,,,,
Spring 2023,43792,12621,5736,7862,30632,167,100810,,,,,,,,,,,,,,
Spring 2024,46719,13080,5437,7931,32481,93,105741,,,,,,,,,,,,,,
Spring 2025,47765,15234,5622,9371,33439,261,111692,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
