Department,Full-time Faculty,Full-time Faculty w/ Load Credits,Part-time FTE Faculty,Total FTE Faculty,FTE Students,Student-Faculty Ratio
Art & Design,14,14,9.13,23.13,230.1,9.9
Communication,10,9,5.33,14.33,220.9,15.4
Criminology & Criminal Justice,14,12,4.42,16.42,279.7,17
Economics,8,8,1.32,9.32,178.1,19.1
English,28,26,16.5,42.5,533.4,12.5
"Geography, Anthropology, & Tourism",9,9,2.9,11.9,204.4,17.2
History,13,11,4.46,15.46,287.1,18.6
Journalism,4,4,0,4,39.3,9.8
Music,6,6,5.4,11.4,94.5,8.3
Philosophy,5,5,3,8,163.7,20.5
Political Science,7,7,1.5,8.5,150.6,17.7
Psychological Science,20,20,3.83,23.83,456.4,19.2
Sociology,9,9,3.75,12.75,194.4,15.2
Theatre,6,6,0.97,6.97,47.2,6.8
"World Languages, Literatures & Cultures",8,8,5.05,13.05,138.7,10.6
Total CLASS,161,154,67.56,221.56,3218.5,14.5
Accounting,12,12,0.5,12.5,200.1,16
Finance,9,8,3.5,11.5,275.4,23.9
Management & Organization,12,12,1.5,13.5,213.2,15.8
Management Information Systems,6,6,1.5,7.5,137.2,18.3
Marketing,9,9,2.75,11.75,216,18.4
Total Business,48,47,9.75,56.75,1041.8,18.4
Curriculum & Instruction,3,1,3.82,4.82,78.4,16.3
Educational Leadership & Instructional Technology,10,10,4.81,14.81,121.6,8.2
"Literacy, Elementary & Early Childhood Education",9,8,4.22,12.22,125.2,10.2
Special Education & Interventions,6,6,2.5,8.5,99.3,11.7
Total Education,28,25,15.35,40.35,424.5,10.5
Counselor Education & Family Therapy,9,8,4.83,12.83,136.5,10.6
Nurse Anesthesia Practice,6,6,2.72,8.72,67.1,7.7
Nursing,12,12,15,27,133,4.9
Physical Education & Human Performance,16,16,5.9,21.9,245,11.2
Social Work,7,7,3.62,10.62,96.1,9
Total Health,50,49,32.07,81.07,677.6,8.4
Biology,12,11,5.4,16.4,198.2,12.1
Biomolecular Sciences,9,9,1.75,10.75,113.3,10.5
Chemistry & Biochemistry,11,11,3,14,161.2,11.5
Computer Electronics & Graphics Technology,6,6,6.66,12.66,150,11.9
Computer Science,10,10,3.25,13.25,198.3,15
Earth & Space Sciences,6,5,3.28,8.28,103.9,12.6
Engineering,19,19,9.25,28.25,274.2,9.7
Manufacturing & Construction Management,12,12,7.17,19.17,225.4,11.8
Mathematical Sciences,27,27,19.35,46.35,719.1,15.5
Physics & Engineering Physics,5,5,4.73,9.73,74.4,7.6
Technology & Engineering Education,4,4,1.67,5.67,46.3,8.2
Total EngSciTech,121,119,65.51,184.51,2264.2,12.3
No School,0,0,1.43,1.43,17.5,12.2
University Total,408,394,191.67,585.67,7644,13.1
,,,,,,
"Overview: This report provides the Spring 2025 student-faculty ratios by department across all colleges and schools at the university. It shows the number of full-time and part-time faculty, their instructional loads, total full-time equivalent (FTE) faculty, the number of FTE students, and the resulting student-to-faculty ratios.

Abbreviations:

FTE (Full-Time Equivalent): A measure that combines full-time and part-time faculty or students into a standardized full-time count.

FT (Full-time Faculty): Faculty members employed full-time by the university.

Load Credits: Teaching or instructional credits assigned to faculty, representing teaching workload.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
