Fall of Entry,Number of FTFT Students in Adjusted Cohort,Pct of FTFT Students Graduated in 6 Yrs or Less,Number of Athletes Receiving Athletic Aid,Pct of Athletes Graduated in 6 Yrs or Less,Description
2007,1466,52%,63,49%,"The data shows yearly cohorts (2007–2018) of full-time, first-time students at CCSU, including the number in each adjusted cohort and their six-year graduation rates. It also tracks how many athletes received athletic aid in each cohort and compares their six-year graduation percentages to the overall student body. This allows for a direct comparison of academic outcomes between athletes and non-athletes over time."
2008,1297,52%,42,48%,
2009,1277,57%,63,68%,
2010,1340,54%,68,56%,
2011,1363,52%,62,53%,
2012,1324,51%,60,68%,
2013,1272,57%,62,61%,
2014,1350,52%,66,50%,
2015,1343,55%,62,58%,
2016,1253,53%,81,60%,
2017,1417,49%,65,60%,
2018,1439,48%,66,64%,
