Year,Original Cohort,Retained to 2nd Year (N),Retained to 2nd Year (%),Completers in 6 Years or Less (N),Completers in 6 Years or Less (%),,,Description
2010,7,4,57,1,14,,,"The dataset summarizes retention and graduation outcomes for part-time, first-time bachelor’s degree students from 2010–2023. It records the original cohort size, second-year retention counts and percentages, and six-year completion rates where available. Overall, the data highlights smaller cohorts with lower and more variable retention and graduation rates compared to full-time students."
2011,13,7,54,2,15,,,
2012,12,8,67,6,50,,,
2013,15,8,53,3,20,,,
2014,16,6,38,2,13,,,
2015,12,6,50,0,0,,,
2016,11,7,64,3,27,,,
2017,12,5,42,1,8,,,
2018,17,5,29,1,6,,,
2019,18,10,56,,,,,
2020,23,7,30,,,,,
2021,28,14,50,,,,,
2022,22,11,50,,,,,
2023,25,10,40,,,,,
