Year,School of Liberal Arts & Social Sciences (Cohort),School of Business (Cohort),School of Education & Professional Studies (Cohort),"School of Engineering, Science & Technology (Cohort)",University Total (Cohort),University Retained to 2nd Year (%),University Completers in 4 Years (cum %),,,Description
2013,406,177,125,103,814,77,55,,,"This dataset compares retention and graduation outcomes for transfer students across CCSU’s schools: Liberal Arts & Social Sciences, Business, Education & Professional Studies, and Engineering, Science & Technology. It reports cohort sizes from 2013–2023, alongside university-wide second-year retention and four-year graduation percentages. The data highlights differences in cohort sizes and persistence trends between schools, with engineering and business showing larger transfer cohorts compared to education and liberal arts."
2014,314,176,143,236,869,80,55,,,
2015,333,185,112,241,871,79,57,,,
2016,298,208,111,210,827,80,60,,,
2017,280,158,105,225,795,83,62,,,
2018,240,167,95,238,771,79,58,,,
2019,225,138,91,238,715,85,60,,,
2020,198,122,86,201,623,79,60,,,
2021,179,135,90,165,586,83,,,,
2022,184,123,92,197,609,84,,,,
2023,204,134,113,198,658,83,,,,
