Section,Category,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
Other,More information can be found @ www.ccsu.edu/tuition-aid or by calling the university Bursar at (,860,832,201,0,201,5,16,201,6,17,201
Other,Connecticut Resident,9300,9741,10225,10616,11068,11502,11542,12106,12460,13050,13050
Other,Domestic/NEBHE (New,202,4,25,21570,22602,22914,23124,24028,24906,24946,24994
Other,International Student (New,202,4,25,21570,22602,22914,23124,24028,24906,24946,24994
Other,Connecticut Resident (total per credit charge),459,482,501,520,545,567,567,595,612,642,642
Other,Non-Resident (total per credit charge),469,492,501,520,559,581,581,610,628,659,659
Other,Connecticut Resident,10454,10956,11392,11835,12356,12848,12848,13488,13890,14562,14562
Other,Domestic/NEBHE (New,202,4,25,22666,23756,23968,24178,25144,26072,26072,26186
Other,International Student (New,202,4,25,22666,23756,23968,24178,25144,26072,26072,26186
Other,Connecticut Resident (total per credit charge),577,606,629,654,686,714,714,749,771,809,809
Other,Non-Resident (total per credit charge),592,622,629,654,699,728,728,764,786,825,825
Doctoral,Part-Time Doctoral StudentConnecticut Resident (total per credit charge),791,831,863,897,941,979,979,1027,1058,1109,1109
Other,Non-Resident (total per credit charge),810,850,863,897,941,979,979,1027,1058,1109,1109
Undergraduate,Room and Board Charges (Standard Residence Hall)Undergraduate Student,11134,11462,11816,12176,12528,12716,12174,12464,12710,13086,13276
Graduate,Graduate Student,11134,11462,11816,12176,12528,12716,12174,12464,12710,13086,13276
