School,Home Department,UG SCH FT (A),UG SCH PT (B),GR SCH FT (C),GR SCH PT (D),UG SCH Total (E=A+B),GR SCH Total (F=C+D),All SCH Total (G=E+F),UG FTE FT (H=A/15),UG FTE PT (I=B/15),GR FTE FT (J=C/12),GR FTE PT (K=D/12),UG FTE Total (L=E/15),GR FTE Total (M=F/12),All FTE Total (N=L+M),,,,,,,,,,,,
Liberal Arts & Social Sciences,Anthropology,1245,212,6,9,1457,15,1472,83,14,1,1,97,1,98,,,,,,,,,,,,
Liberal Arts & Social Sciences,Art,1871,180,126,72,2051,198,2249,125,12,11,6,137,17,153,,,,,,,,,,,,
Liberal Arts & Social Sciences,Communication,3652,350,108,103,4002,211,4213,243,23,9,9,267,18,284,,,,,,,,,,,,
Liberal Arts & Social Sciences,Criminology & Criminal Justice,3211,470,33,92,3681,125,3806,214,31,3,8,245,10,256,,,,,,,,,,,,
Liberal Arts & Social Sciences,Design (Graphic Information),633,57,36,33,690,69,759,42,4,3,3,46,6,52,,,,,,,,,,,,
Liberal Arts & Social Sciences,Economics,2254,273,0,0,2527,0,2527,150,18,0,0,168,0,168,,,,,,,,,,,,
Liberal Arts & Social Sciences,English,7360,644,129,219,8004,348,8352,491,43,11,18,534,29,563,,,,,,,,,,,,
Liberal Arts & Social Sciences,Geography,2362,270,66,81,2632,147,2779,157,18,6,7,175,12,188,,,,,,,,,,,,
Liberal Arts & Social Sciences,History,4034,488,134,159,4522,293,4815,269,33,11,13,301,24,326,,,,,,,,,,,,
Liberal Arts & Social Sciences,Journalism,566,73,0,0,639,0,639,38,5,0,0,43,0,43,,,,,,,,,,,,
Liberal Arts & Social Sciences,Modern Languages,2222,478,36,198,2700,234,2934,148,32,3,17,180,20,200,,,,,,,,,,,,
Liberal Arts & Social Sciences,Music,1556,97,6,38,1653,44,1697,104,6,1,3,110,4,114,,,,,,,,,,,,
Liberal Arts & Social Sciences,Philosophy,2079,216,3,6,2295,9,2304,139,14,0,1,153,1,154,,,,,,,,,,,,
Liberal Arts & Social Sciences,Political Science,1479,168,3,9,1647,12,1659,99,11,0,1,110,1,111,,,,,,,,,,,,
