Category,Status/Type,Residency/Group,Charge Basis,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,,Description,,,,,,,,,,
Undergraduate,Full-Time,CT Resident,Annual,"$9,300","$9,741","$10,225","$10,616","$11,068","$11,502","$11,542","$12,106","$12,460","$13,050","$13,050",,"Undergraduate CT-resident full-time tuition rises from $9,300 in 2015-16 to $13,050 in 2025-26, while graduate CT-resident full-time tuition goes from $10,454 to $14,562 over the same span. Room & Board (standard residence hall) moves from $11,134 to $13,276. Separately, international and “Domestic/NEBHE” rates are shown for both undergraduate and graduate full-time students; part-time undergraduate, graduate, and doctoral rates are provided on a per-credit basis.

Notes on terms:

NEBHE: New England Board of Higher Education regional tuition rate (a discounted non-resident rate for eligible New England students; first shown explicitly starting 2024-25).

Per credit: Amount charged for part-time enrollment, per credit hour.

Room & Board: Standard residence hall charge (annual).",,,,,,,,,,
,,Domestic/NEBHE (new 2024-25),Annual,"$21,570","$22,602","$22,914","$23,124","$24,028","$24,906","$24,946","$24,994","$25,736","$16,550","$16,550",,,,,,,,,,,,
,,International (new 2024-25),Annual,"$21,570","$22,602","$22,914","$23,124","$24,028","$24,906","$24,946","$24,994","$25,736","$26,990","$26,990",,,,,,,,,,,,
,Part-Time,CT Resident,Per credit,$459,$482,$501,$520,$545,$567,$567,$595,$612,$642,$642,,,,,,,,,,,,
,,Non-Resident,Per credit,$469,$492,$501,$520,$559,$581,$581,$610,$628,$659,$659,,,,,,,,,,,,
Graduate,Full-Time,CT Resident,Annual,"$10,454","$10,956","$11,392","$11,835","$12,356","$12,848","$12,848","$13,488","$13,890","$14,562","$14,562",,,,,,,,,,,,
,,Domestic/NEBHE (new 2024-25),Annual,"$22,666","$23,756","$23,968","$24,178","$25,144","$26,072","$26,072","$26,186","$26,970","$18,920","$18,920",,,,,,,,,,,,
,,International (new 2024-25),Annual,"$22,666","$23,756","$23,968","$24,178","$25,144","$26,072","$26,072","$26,186","$26,970","$28,292","$28,292",,,,,,,,,,,,
,Part-Time,CT Resident,Per credit,$577,$606,$629,$654,$686,$714,$714,$749,$771,$809,$809,,,,,,,,,,,,
,,Non-Resident,Per credit,$592,$622,$629,$654,$699,$728,$728,$764,$786,$825,$825,,,,,,,,,,,,
Doctoral,Part-Time,CT Resident,Per credit,$791,$831,$863,$897,$941,$979,$979,"$1,027","$1,058","$1,109","$1,109",,,,,,,,,,,,
,,Non-Resident,Per credit,$810,$850,$863,$897,$941,$979,$979,"$1,027","$1,058","$1,109","$1,109",,,,,,,,,,,,
Room & Board,Standard Residence Hall,Undergraduate,Annual,"$11,134","$11,462","$11,816","$12,176","$12,528","$12,716","$12,174","$12,464","$12,710","$13,086","$13,276",,,,,,,,,,,,
,,Graduate,Annual,"$11,134","$11,462","$11,816","$12,176","$12,528","$12,716","$12,174","$12,464","$12,710","$13,086","$13,276",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
