Group_Combined,Group,Subgroup,Year,Metric,Value
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2006,Headcount (N),417
Full-Time — Other,Full-Time,Other,2006,Headcount (N),536
Full-Time — Total,Full-Time,Total,2006,Headcount (N),953
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2006,Headcount (N),468
Part-Time — Other,Part-Time,Other,2006,Headcount (N),158
Part-Time — Total,Part-Time,Total,2006,Headcount (N),626
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2006,Headcount (N),885
Grand Total — Other,Grand Total,Other,2006,Headcount (N),694
Grand Total — Total,Grand Total,Total,2006,Headcount (N),1579
Graduate Assistants — All,Graduate Assistants,All,2006,Graduate Assistants (N),56
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2007,Headcount (N),432
Full-Time — Other,Full-Time,Other,2007,Headcount (N),571
Full-Time — Total,Full-Time,Total,2007,Headcount (N),1003
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2007,Headcount (N),453
Part-Time — Other,Part-Time,Other,2007,Headcount (N),167
Part-Time — Total,Part-Time,Total,2007,Headcount (N),620
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2007,Headcount (N),885
Grand Total — Other,Grand Total,Other,2007,Headcount (N),738
Grand Total — Total,Grand Total,Total,2007,Headcount (N),1623
Graduate Assistants — All,Graduate Assistants,All,2007,Graduate Assistants (N),68
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2008,Headcount (N),434
Full-Time — Other,Full-Time,Other,2008,Headcount (N),573
Full-Time — Total,Full-Time,Total,2008,Headcount (N),1007
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2008,Headcount (N),465
Part-Time — Other,Part-Time,Other,2008,Headcount (N),165
Part-Time — Total,Part-Time,Total,2008,Headcount (N),630
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2008,Headcount (N),899
Grand Total — Other,Grand Total,Other,2008,Headcount (N),738
