Group_Combined,Group,Subgroup,Year,Metric,Value
Full-Time Faculty — Men,Full-Time Faculty,Men,2019,Professor,120
Full-Time Faculty — Men,Full-Time Faculty,Men,2020,Professor,127
Full-Time Faculty — Men,Full-Time Faculty,Men,2021,Professor,120
Full-Time Faculty — Men,Full-Time Faculty,Men,2022,Professor,105
Full-Time Faculty — Men,Full-Time Faculty,Men,2023,Professor,109
Full-Time Faculty — Men,Full-Time Faculty,Men,2024,Professor,111
Full-Time Faculty — Men,Full-Time Faculty,Men,2019,Associate professor,74
Full-Time Faculty — Men,Full-Time Faculty,Men,2020,Associate professor,71
Full-Time Faculty — Men,Full-Time Faculty,Men,2021,Associate professor,75
Full-Time Faculty — Men,Full-Time Faculty,Men,2022,Associate professor,73
Full-Time Faculty — Men,Full-Time Faculty,Men,2023,Associate professor,75
Full-Time Faculty — Men,Full-Time Faculty,Men,2024,Associate professor,67
Full-Time Faculty — Men,Full-Time Faculty,Men,2019,Assistant professor,50
Full-Time Faculty — Men,Full-Time Faculty,Men,2020,Assistant professor,42
Full-Time Faculty — Men,Full-Time Faculty,Men,2021,Assistant professor,39
Full-Time Faculty — Men,Full-Time Faculty,Men,2022,Assistant professor,42
Full-Time Faculty — Men,Full-Time Faculty,Men,2023,Assistant professor,46
Full-Time Faculty — Men,Full-Time Faculty,Men,2024,Assistant professor,41
Full-Time Faculty — Men,Full-Time Faculty,Men,2019,Instructor,2
Full-Time Faculty — Men,Full-Time Faculty,Men,2020,Instructor,1
Full-Time Faculty — Men,Full-Time Faculty,Men,2021,Instructor,0
Full-Time Faculty — Men,Full-Time Faculty,Men,2022,Instructor,0
Full-Time Faculty — Men,Full-Time Faculty,Men,2023,Instructor,1
Full-Time Faculty — Men,Full-Time Faculty,Men,2024,Instructor,1
Full-Time Faculty — Men,Full-Time Faculty,Men,2019,Total,246
Full-Time Faculty — Men,Full-Time Faculty,Men,2020,Total,241
Full-Time Faculty — Men,Full-Time Faculty,Men,2021,Total,234
Full-Time Faculty — Men,Full-Time Faculty,Men,2022,Total,220
Full-Time Faculty — Men,Full-Time Faculty,Men,2023,Total,231
Full-Time Faculty — Men,Full-Time Faculty,Men,2024,Total,220
Full-Time Faculty — Women,Full-Time Faculty,Women,2019,Professor,76
Full-Time Faculty — Women,Full-Time Faculty,Women,2020,Professor,73
Full-Time Faculty — Women,Full-Time Faculty,Women,2021,Professor,66
Full-Time Faculty — Women,Full-Time Faculty,Women,2022,Professor,61
Full-Time Faculty — Women,Full-Time Faculty,Women,2023,Professor,61
Full-Time Faculty — Women,Full-Time Faculty,Women,2024,Professor,64
Full-Time Faculty — Women,Full-Time Faculty,Women,2019,Associate professor,63
Full-Time Faculty — Women,Full-Time Faculty,Women,2020,Associate professor,65
Full-Time Faculty — Women,Full-Time Faculty,Women,2021,Associate professor,73
Full-Time Faculty — Women,Full-Time Faculty,Women,2022,Associate professor,61
Full-Time Faculty — Women,Full-Time Faculty,Women,2023,Associate professor,56
