Group_Combined,Group,Subgroup,Year,Metric,Value
College of Liberal Arts & Social Sciences — Art & Design,College of Liberal Arts & Social Sciences,Art & Design,2019,Full-Time Teaching Faculty (N),10
College of Liberal Arts & Social Sciences — Art & Design,College of Liberal Arts & Social Sciences,Art & Design,2020,Full-Time Teaching Faculty (N),10
College of Liberal Arts & Social Sciences — Art & Design,College of Liberal Arts & Social Sciences,Art & Design,2021,Full-Time Teaching Faculty (N),14
College of Liberal Arts & Social Sciences — Art & Design,College of Liberal Arts & Social Sciences,Art & Design,2022,Full-Time Teaching Faculty (N),13
College of Liberal Arts & Social Sciences — Art & Design,College of Liberal Arts & Social Sciences,Art & Design,2023,Full-Time Teaching Faculty (N),14
College of Liberal Arts & Social Sciences — Art & Design,College of Liberal Arts & Social Sciences,Art & Design,2024,Full-Time Teaching Faculty (N),14
College of Liberal Arts & Social Sciences — Communication,College of Liberal Arts & Social Sciences,Communication,2019,Full-Time Teaching Faculty (N),12
College of Liberal Arts & Social Sciences — Communication,College of Liberal Arts & Social Sciences,Communication,2020,Full-Time Teaching Faculty (N),13
College of Liberal Arts & Social Sciences — Communication,College of Liberal Arts & Social Sciences,Communication,2021,Full-Time Teaching Faculty (N),11
College of Liberal Arts & Social Sciences — Communication,College of Liberal Arts & Social Sciences,Communication,2022,Full-Time Teaching Faculty (N),10
College of Liberal Arts & Social Sciences — Communication,College of Liberal Arts & Social Sciences,Communication,2023,Full-Time Teaching Faculty (N),9
College of Liberal Arts & Social Sciences — Communication,College of Liberal Arts & Social Sciences,Communication,2024,Full-Time Teaching Faculty (N),10
College of Liberal Arts & Social Sciences — Criminology Criminal Justice,College of Liberal Arts & Social Sciences,Criminology Criminal Justice,2019,Full-Time Teaching Faculty (N),14
College of Liberal Arts & Social Sciences — Criminology Criminal Justice,College of Liberal Arts & Social Sciences,Criminology Criminal Justice,2020,Full-Time Teaching Faculty (N),14
College of Liberal Arts & Social Sciences — Criminology Criminal Justice,College of Liberal Arts & Social Sciences,Criminology Criminal Justice,2021,Full-Time Teaching Faculty (N),14
College of Liberal Arts & Social Sciences — Criminology Criminal Justice,College of Liberal Arts & Social Sciences,Criminology Criminal Justice,2022,Full-Time Teaching Faculty (N),14
College of Liberal Arts & Social Sciences — Criminology Criminal Justice,College of Liberal Arts & Social Sciences,Criminology Criminal Justice,2023,Full-Time Teaching Faculty (N),14
College of Liberal Arts & Social Sciences — Criminology Criminal Justice,College of Liberal Arts & Social Sciences,Criminology Criminal Justice,2024,Full-Time Teaching Faculty (N),14
College of Liberal Arts & Social Sciences — Design (Graphic/Info.),College of Liberal Arts & Social Sciences,Design (Graphic/Info.),2019,Full-Time Teaching Faculty (N),
