Group_Combined,Group,Subgroup,Year,Metric,Value
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1987,Headcount (N),401
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1987,Headcount (N),294
Instructional Faculty — Total,Instructional Faculty,Total,1987,Headcount (N),695
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1988,Headcount (N),397
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1988,Headcount (N),254
Instructional Faculty — Total,Instructional Faculty,Total,1988,Headcount (N),651
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1989,Headcount (N),396
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1989,Headcount (N),315
Instructional Faculty — Total,Instructional Faculty,Total,1989,Headcount (N),711
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1990,Headcount (N),
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1990,Headcount (N),
Instructional Faculty — Total,Instructional Faculty,Total,1990,Headcount (N),
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1991,Headcount (N),406
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1991,Headcount (N),336
Instructional Faculty — Total,Instructional Faculty,Total,1991,Headcount (N),742
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1992,Headcount (N),
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1992,Headcount (N),
Instructional Faculty — Total,Instructional Faculty,Total,1992,Headcount (N),
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1993,Headcount (N),390
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1993,Headcount (N),327
Instructional Faculty — Total,Instructional Faculty,Total,1993,Headcount (N),717
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1994,Headcount (N),381
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1994,Headcount (N),353
Instructional Faculty — Total,Instructional Faculty,Total,1994,Headcount (N),734
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1995,Headcount (N),387
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1995,Headcount (N),355
Instructional Faculty — Total,Instructional Faculty,Total,1995,Headcount (N),742
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1996,Headcount (N),367
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1996,Headcount (N),362
Instructional Faculty — Total,Instructional Faculty,Total,1996,Headcount (N),729
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1997,Headcount (N),354
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1997,Headcount (N),414
Instructional Faculty — Total,Instructional Faculty,Total,1997,Headcount (N),768
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1998,Headcount (N),377
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1998,Headcount (N),439
Instructional Faculty — Total,Instructional Faculty,Total,1998,Headcount (N),816
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,1999,Headcount (N),379
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,1999,Headcount (N),450
Instructional Faculty — Total,Instructional Faculty,Total,1999,Headcount (N),829
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2000,Headcount (N),391
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2000,Headcount (N),446
Instructional Faculty — Total,Instructional Faculty,Total,2000,Headcount (N),837
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2001,Headcount (N),391
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2001,Headcount (N),410
Instructional Faculty — Total,Instructional Faculty,Total,2001,Headcount (N),801
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2002,Headcount (N),400
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2002,Headcount (N),448
Instructional Faculty — Total,Instructional Faculty,Total,2002,Headcount (N),848
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2003,Headcount (N),395
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2003,Headcount (N),461
Instructional Faculty — Total,Instructional Faculty,Total,2003,Headcount (N),856
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2004,Headcount (N),409
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2004,Headcount (N),475
Instructional Faculty — Total,Instructional Faculty,Total,2004,Headcount (N),884
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2005,Headcount (N),416
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2005,Headcount (N),434
Instructional Faculty — Total,Instructional Faculty,Total,2005,Headcount (N),850
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2006,Headcount (N),417
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2006,Headcount (N),468
Instructional Faculty — Total,Instructional Faculty,Total,2006,Headcount (N),885
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2007,Headcount (N),432
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2007,Headcount (N),453
Instructional Faculty — Total,Instructional Faculty,Total,2007,Headcount (N),885
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2008,Headcount (N),434
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2008,Headcount (N),465
Instructional Faculty — Total,Instructional Faculty,Total,2008,Headcount (N),899
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2009,Headcount (N),433
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2009,Headcount (N),491
Instructional Faculty — Total,Instructional Faculty,Total,2009,Headcount (N),924
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2010,Headcount (N),440
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2010,Headcount (N),526
Instructional Faculty — Total,Instructional Faculty,Total,2010,Headcount (N),966
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2011,Headcount (N),440
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2011,Headcount (N),528
Instructional Faculty — Total,Instructional Faculty,Total,2011,Headcount (N),968
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2012,Headcount (N),441
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2012,Headcount (N),518
Instructional Faculty — Total,Instructional Faculty,Total,2012,Headcount (N),959
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2013,Headcount (N),434
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2013,Headcount (N),482
Instructional Faculty — Total,Instructional Faculty,Total,2013,Headcount (N),916
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2014,Headcount (N),451
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2014,Headcount (N),501
Instructional Faculty — Total,Instructional Faculty,Total,2014,Headcount (N),952
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2015,Headcount (N),450
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2015,Headcount (N),499
Instructional Faculty — Total,Instructional Faculty,Total,2015,Headcount (N),949
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2016,Headcount (N),446
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2016,Headcount (N),489
Instructional Faculty — Total,Instructional Faculty,Total,2016,Headcount (N),935
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2017,Headcount (N),448
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2017,Headcount (N),485
Instructional Faculty — Total,Instructional Faculty,Total,2017,Headcount (N),933
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2018,Headcount (N),448
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2018,Headcount (N),529
Instructional Faculty — Total,Instructional Faculty,Total,2018,Headcount (N),977
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2019,Headcount (N),440
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2019,Headcount (N),541
Instructional Faculty — Total,Instructional Faculty,Total,2019,Headcount (N),981
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2020,Headcount (N),428
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2020,Headcount (N),472
Instructional Faculty — Total,Instructional Faculty,Total,2020,Headcount (N),900
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2021,Headcount (N),416
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2021,Headcount (N),432
Instructional Faculty — Total,Instructional Faculty,Total,2021,Headcount (N),848
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2022,Headcount (N),392
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2022,Headcount (N),438
Instructional Faculty — Total,Instructional Faculty,Total,2022,Headcount (N),830
Instructional Faculty — Full-Time,Instructional Faculty,Full-Time,2023,Headcount (N),409
Instructional Faculty — Part-Time,Instructional Faculty,Part-Time,2023,Headcount (N),458
Instructional Faculty — Total,Instructional Faculty,Total,2023,Headcount (N),867
