Group_Combined,Group,Subgroup,Year,Metric,Value
Full-Time AAUP Teaching Faculty Headcount (1) — Professors,Full-Time AAUP Teaching Faculty Headcount (1),Professors,2019,Count/FTE,196
Full-Time AAUP Teaching Faculty Headcount (1) — Professors,Full-Time AAUP Teaching Faculty Headcount (1),Professors,2020,Count/FTE,200
Full-Time AAUP Teaching Faculty Headcount (1) — Professors,Full-Time AAUP Teaching Faculty Headcount (1),Professors,2021,Count/FTE,186
Full-Time AAUP Teaching Faculty Headcount (1) — Professors,Full-Time AAUP Teaching Faculty Headcount (1),Professors,2022,Count/FTE,166
Full-Time AAUP Teaching Faculty Headcount (1) — Professors,Full-Time AAUP Teaching Faculty Headcount (1),Professors,2023,Count/FTE,170
Full-Time AAUP Teaching Faculty Headcount (1) — Professors,Full-Time AAUP Teaching Faculty Headcount (1),Professors,2024,Count/FTE,175
Full-Time AAUP Teaching Faculty Headcount (1) — Associate Professors,Full-Time AAUP Teaching Faculty Headcount (1),Associate Professors,2019,Count/FTE,137
Full-Time AAUP Teaching Faculty Headcount (1) — Associate Professors,Full-Time AAUP Teaching Faculty Headcount (1),Associate Professors,2020,Count/FTE,136
Full-Time AAUP Teaching Faculty Headcount (1) — Associate Professors,Full-Time AAUP Teaching Faculty Headcount (1),Associate Professors,2021,Count/FTE,148
Full-Time AAUP Teaching Faculty Headcount (1) — Associate Professors,Full-Time AAUP Teaching Faculty Headcount (1),Associate Professors,2022,Count/FTE,134
Full-Time AAUP Teaching Faculty Headcount (1) — Associate Professors,Full-Time AAUP Teaching Faculty Headcount (1),Associate Professors,2023,Count/FTE,131
Full-Time AAUP Teaching Faculty Headcount (1) — Associate Professors,Full-Time AAUP Teaching Faculty Headcount (1),Associate Professors,2024,Count/FTE,129
Full-Time AAUP Teaching Faculty Headcount (1) — Assistant Professors,Full-Time AAUP Teaching Faculty Headcount (1),Assistant Professors,2019,Count/FTE,101
Full-Time AAUP Teaching Faculty Headcount (1) — Assistant Professors,Full-Time AAUP Teaching Faculty Headcount (1),Assistant Professors,2020,Count/FTE,90
Full-Time AAUP Teaching Faculty Headcount (1) — Assistant Professors,Full-Time AAUP Teaching Faculty Headcount (1),Assistant Professors,2021,Count/FTE,81
Full-Time AAUP Teaching Faculty Headcount (1) — Assistant Professors,Full-Time AAUP Teaching Faculty Headcount (1),Assistant Professors,2022,Count/FTE,89
Full-Time AAUP Teaching Faculty Headcount (1) — Assistant Professors,Full-Time AAUP Teaching Faculty Headcount (1),Assistant Professors,2023,Count/FTE,104
Full-Time AAUP Teaching Faculty Headcount (1) — Assistant Professors,Full-Time AAUP Teaching Faculty Headcount (1),Assistant Professors,2024,Count/FTE,102
Full-Time AAUP Teaching Faculty Headcount (1) — Instructors,Full-Time AAUP Teaching Faculty Headcount (1),Instructors,2019,Count/FTE,6
Full-Time AAUP Teaching Faculty Headcount (1) — Instructors,Full-Time AAUP Teaching Faculty Headcount (1),Instructors,2020,Count/FTE,2
Full-Time AAUP Teaching Faculty Headcount (1) — Instructors,Full-Time AAUP Teaching Faculty Headcount (1),Instructors,2021,Count/FTE,1
Full-Time AAUP Teaching Faculty Headcount (1) — Instructors,Full-Time AAUP Teaching Faculty Headcount (1),Instructors,2022,Count/FTE,3
Full-Time AAUP Teaching Faculty Headcount (1) — Instructors,Full-Time AAUP Teaching Faculty Headcount (1),Instructors,2023,Count/FTE,4
Full-Time AAUP Teaching Faculty Headcount (1) — Instructors,Full-Time AAUP Teaching Faculty Headcount (1),Instructors,2024,Count/FTE,5
Full-Time AAUP Teaching Faculty Headcount (1) — Total Full-time,Full-Time AAUP Teaching Faculty Headcount (1),Total Full-time,2019,Count/FTE,440
