Group_Combined,Group,Subgroup,Year,Metric,Value
Men — All,Men,All,2013,Average Salary (USD),86781
Men — All,Men,All,2014,Average Salary (USD),89696
Men — All,Men,All,2015,Average Salary (USD),92725
Men — All,Men,All,2016,Average Salary (USD),92860
Men — All,Men,All,2017,Average Salary (USD),91801
Men — All,Men,All,2018,Average Salary (USD),91631
Men — All,Men,All,2019,Average Salary (USD),95695
Men — All,Men,All,2020,Average Salary (USD),101198
Men — All,Men,All,2021,Average Salary (USD),100501
Men — All,Men,All,2022,Average Salary (USD),107106
Men — All,Men,All,2023,Average Salary (USD),109512
Men — All,Men,All,2024,Average Salary (USD),114509
Men — Assistant Professor,Men,Assistant Professor,2013,Average Salary (USD),64833
Men — Assistant Professor,Men,Assistant Professor,2014,Average Salary (USD),67489
Men — Assistant Professor,Men,Assistant Professor,2015,Average Salary (USD),69279
Men — Assistant Professor,Men,Assistant Professor,2016,Average Salary (USD),68888
Men — Assistant Professor,Men,Assistant Professor,2017,Average Salary (USD),68431
Men — Assistant Professor,Men,Assistant Professor,2018,Average Salary (USD),68999
Men — Assistant Professor,Men,Assistant Professor,2019,Average Salary (USD),72553
Men — Assistant Professor,Men,Assistant Professor,2020,Average Salary (USD),76016
Men — Assistant Professor,Men,Assistant Professor,2021,Average Salary (USD),75358
Men — Assistant Professor,Men,Assistant Professor,2022,Average Salary (USD),78493
Men — Assistant Professor,Men,Assistant Professor,2023,Average Salary (USD),79290
Men — Assistant Professor,Men,Assistant Professor,2024,Average Salary (USD),81538
Men — Associate Professor,Men,Associate Professor,2013,Average Salary (USD),81551
Men — Associate Professor,Men,Associate Professor,2014,Average Salary (USD),84350
Men — Associate Professor,Men,Associate Professor,2015,Average Salary (USD),86338
Men — Associate Professor,Men,Associate Professor,2016,Average Salary (USD),88177
Men — Associate Professor,Men,Associate Professor,2017,Average Salary (USD),85577
Men — Associate Professor,Men,Associate Professor,2018,Average Salary (USD),84529
Men — Associate Professor,Men,Associate Professor,2019,Average Salary (USD),87843
Men — Associate Professor,Men,Associate Professor,2020,Average Salary (USD),91593
Men — Associate Professor,Men,Associate Professor,2021,Average Salary (USD),90596
Men — Associate Professor,Men,Associate Professor,2022,Average Salary (USD),98620
Men — Associate Professor,Men,Associate Professor,2023,Average Salary (USD),100818
Men — Associate Professor,Men,Associate Professor,2024,Average Salary (USD),105168
Men — Instructor,Men,Instructor,2013,Average Salary (USD),56215
Men — Instructor,Men,Instructor,2014,Average Salary (USD),59441
Men — Instructor,Men,Instructor,2015,Average Salary (USD),61613
Men — Instructor,Men,Instructor,2016,Average Salary (USD),61613
Men — Instructor,Men,Instructor,2017,Average Salary (USD),62975
Men — Instructor,Men,Instructor,2018,Average Salary (USD),
Men — Instructor,Men,Instructor,2019,Average Salary (USD),63000
Men — Instructor,Men,Instructor,2020,Average Salary (USD),65082
Men — Instructor,Men,Instructor,2021,Average Salary (USD),
Men — Instructor,Men,Instructor,2022,Average Salary (USD),
Men — Instructor,Men,Instructor,2023,Average Salary (USD),62495
Men — Instructor,Men,Instructor,2024,Average Salary (USD),65308
Men — Professor,Men,Professor,2013,Average Salary (USD),99951
Men — Professor,Men,Professor,2014,Average Salary (USD),104141
Men — Professor,Men,Professor,2015,Average Salary (USD),108936
Men — Professor,Men,Professor,2016,Average Salary (USD),107843
Men — Professor,Men,Professor,2017,Average Salary (USD),106741
Men — Professor,Men,Professor,2018,Average Salary (USD),106145
Men — Professor,Men,Professor,2019,Average Salary (USD),110725
Men — Professor,Men,Professor,2020,Average Salary (USD),115180
Men — Professor,Men,Professor,2021,Average Salary (USD),114862
Men — Professor,Men,Professor,2022,Average Salary (USD),124724
Men — Professor,Men,Professor,2023,Average Salary (USD),128680
Men — Professor,Men,Professor,2024,Average Salary (USD),132770
Men and Women — All,Men and Women,All,2013,Average Salary (USD),85102
Men and Women — All,Men and Women,All,2014,Average Salary (USD),87986
Men and Women — All,Men and Women,All,2015,Average Salary (USD),91138
Men and Women — All,Men and Women,All,2016,Average Salary (USD),91371
Men and Women — All,Men and Women,All,2017,Average Salary (USD),89835
Men and Women — All,Men and Women,All,2018,Average Salary (USD),89623
Men and Women — All,Men and Women,All,2019,Average Salary (USD),94066
Men and Women — All,Men and Women,All,2020,Average Salary (USD),98876
Men and Women — All,Men and Women,All,2021,Average Salary (USD),97920
Men and Women — All,Men and Women,All,2022,Average Salary (USD),103765
Men and Women — All,Men and Women,All,2023,Average Salary (USD),105862
Men and Women — All,Men and Women,All,2024,Average Salary (USD),109764
Men and Women — Assistant Professor,Men and Women,Assistant Professor,2013,Average Salary (USD),65060
Men and Women — Assistant Professor,Men and Women,Assistant Professor,2014,Average Salary (USD),67424
Men and Women — Assistant Professor,Men and Women,Assistant Professor,2015,Average Salary (USD),69904
Men and Women — Assistant Professor,Men and Women,Assistant Professor,2016,Average Salary (USD),69798
Men and Women — Assistant Professor,Men and Women,Assistant Professor,2017,Average Salary (USD),69148
Men and Women — Assistant Professor,Men and Women,Assistant Professor,2018,Average Salary (USD),69629
Men and Women — Assistant Professor,Men and Women,Assistant Professor,2019,Average Salary (USD),72445
Men and Women — Assistant Professor,Men and Women,Assistant Professor,2020,Average Salary (USD),76100
Men and Women — Assistant Professor,Men and Women,Assistant Professor,2021,Average Salary (USD),75037
Men and Women — Assistant Professor,Men and Women,Assistant Professor,2022,Average Salary (USD),77873
Men and Women — Assistant Professor,Men and Women,Assistant Professor,2023,Average Salary (USD),78962
Men and Women — Assistant Professor,Men and Women,Assistant Professor,2024,Average Salary (USD),81273
Men and Women — Associate Professor,Men and Women,Associate Professor,2013,Average Salary (USD),80432
Men and Women — Associate Professor,Men and Women,Associate Professor,2014,Average Salary (USD),83945
Men and Women — Associate Professor,Men and Women,Associate Professor,2015,Average Salary (USD),86579
Men and Women — Associate Professor,Men and Women,Associate Professor,2016,Average Salary (USD),87645
Men and Women — Associate Professor,Men and Women,Associate Professor,2017,Average Salary (USD),85872
Men and Women — Associate Professor,Men and Women,Associate Professor,2018,Average Salary (USD),84651
Men and Women — Associate Professor,Men and Women,Associate Professor,2019,Average Salary (USD),88162
Men and Women — Associate Professor,Men and Women,Associate Professor,2020,Average Salary (USD),91317
Men and Women — Associate Professor,Men and Women,Associate Professor,2021,Average Salary (USD),90403
Men and Women — Associate Professor,Men and Women,Associate Professor,2022,Average Salary (USD),98531
Men and Women — Associate Professor,Men and Women,Associate Professor,2023,Average Salary (USD),101403
Men and Women — Associate Professor,Men and Women,Associate Professor,2024,Average Salary (USD),105206
Men and Women — Instructor,Men and Women,Instructor,2013,Average Salary (USD),58165
Men and Women — Instructor,Men and Women,Instructor,2014,Average Salary (USD),60645
Men and Women — Instructor,Men and Women,Instructor,2015,Average Salary (USD),60974
Men and Women — Instructor,Men and Women,Instructor,2016,Average Salary (USD),61613
Men and Women — Instructor,Men and Women,Instructor,2017,Average Salary (USD),59423
Men and Women — Instructor,Men and Women,Instructor,2018,Average Salary (USD),58066
Men and Women — Instructor,Men and Women,Instructor,2019,Average Salary (USD),60870
Men and Women — Instructor,Men and Women,Instructor,2020,Average Salary (USD),63541
